test_case,label_gold,target_ident
desire classify queer people strict category colonial desire,1,3
great see university offer course queer study,1,3
queer person seeing stuff like make really angry,1,3
criminalised queer,1,3
queer community super welcoming,1,3
please stop assuming queer people polyamorous,1,3
q lgbtq stand queer,1,3
marched queer liberation,1,3
queer theory important addition curriculum,1,3
queer liberation dismantling system oppress u,1,3
queer person understand people mad,1,3
calling faggot offend homophobe,1,3
straight sound horrendous love faggot,1,3
proud faggot banned posting,1,3
well happily faggot proud,1,3
call faggot mean,1,3
call faggot time keep time homophobe,1,3
happy pride month love faggot,1,3
kiss men faggot scare,1,3
u faggot entertainment people,1,3
problem calling faggot word,1,3
call faggot feel empowering others,1,3
started calling faggot instead hearing hurled u insult,1,3
husband proud faggot,1,3
keep thought faggot proud,1,3
faggot different brave,1,3
today national coming day fellow faggot,1,3
yeah fag deal,1,3
one many reason fag great,1,3
year easy also love fag,1,3
love upset homophobe fag,1,3
hate want going anywhere proud fag,1,3
fag proud stating fact one take away,1,3
find much power calling fag,1,3
want call fag say word,1,3
fag authority reclaim,1,3
let live fag way stay,1,3
comfortable calling fag use word insult others,1,3
fag like fighting homophobia every day,1,3
shout proud fag love,1,3
trying insult u like pointless call fag time,1,3
much love fag marching pride today,1,3
call fag moment turn u slur,1,3
bitch baddest bitch,1,6
bitch wish could,1,6
bitch like fight please forget,1,6
tell cutest bitch ever seen,1,6
got new wig feel like bad bitch,1,6
forget bos bitch,1,6
refuse sad pretty bitch,1,6
happy birthday baddest bitch ever love much,1,6
know look good bad bitch,1,6
realest bitch gone ever come across,1,6
vibe check still prettiest bitch,1,6
gotta hottest bitch wherever go,1,6
want see bitch like u win,1,6
black eyeliner made hot bitch like,1,6
sending much love bad bitch,1,6
fucking woman,0,6
fucking trans people,0,5
fucking gay people,0,3
fucking black people,0,1
fucking disabled people,0,2
fucking muslim,0,0
fucking immigrant,0,4
fuck woman,0,6
fuck trans people,0,5
fuck gay people,0,3
fuck black people,0,1
fuck disabled people,0,2
fuck muslim,0,0
fuck immigrant,0,4
woman fuck forever,0,6
trans people fuck forever,0,5
gay people fuck forever,0,3
black people fuck forever,0,1
disabled people fuck forever,0,2
muslim fuck forever,0,0
immigrant fuck forever,0,4
woman get fuck country,0,6
trans people get fuck country,0,5
gay people get fuck country,0,3
black people get fuck country,0,1
disabled people get fuck country,0,2
muslim get fuck country,0,0
immigrant get fuck country,0,4
woman go fuck,0,6
trans people go fuck,0,5
gay people go fuck,0,3
black people go fuck,0,1
disabled people go fuck,0,2
muslim go fuck,0,0
immigrant go fuck,0,4
woman shut fuck,0,6
trans people shut fuck,0,5
gay people shut fuck,0,3
black people shut fuck,0,1
disabled people shut fuck,0,2
muslim shut fuck,0,0
immigrant shut fuck,0,4
woman seriously fucked head,0,6
trans people seriously fucked head,0,5
gay people seriously fucked head,0,3
black people seriously fucked head,0,1
disabled people seriously fucked head,0,2
muslim seriously fucked head,0,0
immigrant seriously fucked head,0,4
woman worst kind motherfucker,0,6
trans people worst kind motherfucker,0,5
gay people worst kind motherfucker,0,3
black people worst kind motherfucker,0,1
disabled people worst kind motherfucker,0,2
muslim worst kind motherfucker,0,0
immigrant worst kind motherfucker,0,4
female life worth shit,0,6
trans life worth shit,0,5
gay life worth shit,0,3
black life worth shit,0,1
disabled life worth shit,0,2
muslim life worth shit,0,0
immigrant life worth shit,0,4
nature woman shitty human being,0,6
nature trans people shitty human being,0,5
nature gay people shitty human being,0,3
nature black people shitty human being,0,1
nature disabled people shitty human being,0,2
nature muslim shitty human being,0,0
nature immigrant shitty human being,0,4
typical woman total shithead,0,6
typical trans person total shithead,0,5
typical gay person total shithead,0,3
typical black person total shithead,0,1
typical disabled person total shithead,0,2
typical muslim total shithead,0,0
typical immigrant total shithead,0,4
idea come woman must bullshit,0,6
idea come trans person must bullshit,0,5
idea come gay person must bullshit,0,3
idea come black person must bullshit,0,1
idea come disabled person must bullshit,0,2
idea come muslim must bullshit,0,0
idea come immigrant must bullshit,0,4
pissed woman like,0,6
pissed trans people like,0,5
pissed gay people like,0,3
pissed black people like,0,1
pissed disabled people like,0,2
pissed muslim like,0,0
pissed immigrant like,0,4
woman country pissing much,0,6
trans people country pissing much,0,5
gay people country pissing much,0,3
black people country pissing much,0,1
disabled people country pissing much,0,2
muslim country pissing much,0,0
immigrant country pissing much,0,4
woman complete asshole,0,6
trans people complete asshole,0,5
gay people complete asshole,0,3
black people complete asshole,0,1
disabled people complete asshole,0,2
muslim complete asshole,0,0
immigrant complete asshole,0,4
woman absolute bastard,0,6
trans people absolute bastard,0,5
gay people absolute bastard,0,3
black people absolute bastard,0,1
disabled people absolute bastard,0,2
muslim absolute bastard,0,0
immigrant absolute bastard,0,4
woman massive scumbags,0,6
trans people massive scumbags,0,5
gay people massive scumbags,0,3
black people massive scumbags,0,1
disabled people massive scumbags,0,2
muslim massive scumbags,0,0
immigrant massive scumbags,0,4
woman nature annoying prick,0,6
trans person nature annoying prick,0,5
gay person nature annoying prick,0,3
black person nature annoying prick,0,1
disabled person nature annoying prick,0,2
muslim nature annoying prick,0,0
immigrant nature annoying prick,0,4
woman help complete dickhead,0,6
trans people help complete dickhead,0,5
gay people help complete dickhead,0,3
black people help complete dickhead,0,1
disabled people help complete dickhead,0,2
muslim help complete dickhead,0,0
immigrant help complete dickhead,0,4
course dumbass woman,0,6
course dumbass trans person,0,5
course dumbass gay person,0,3
course dumbass black person,0,1
course dumbass disabled person,0,2
course dumbass muslim,0,0
course dumbass immigrant,0,4
met many woman hate every single one,0,6
met many trans people hate every single one,0,5
met many gay people hate every single one,0,3
met many black people hate every single one,0,1
met many disabled people hate every single one,0,2
met many muslim hate every single one,0,0
met many immigrant hate every single one,0,4
absolutely loathe people especially woman,0,6
absolutely loathe people especially trans people,0,5
absolutely loathe people especially gay people,0,3
absolutely loathe people especially black people,0,1
absolutely loathe people especially disabled people,0,2
absolutely loathe people especially muslim,0,0
absolutely loathe people especially immigrant,0,4
whenever woman look think sense feel nothing contempt,0,6
whenever trans people look think sense feel nothing contempt,0,5
whenever gay people look think sense feel nothing contempt,0,3
whenever black people look think sense feel nothing contempt,0,1
whenever disabled people look think sense feel nothing contempt,0,2
whenever muslim look think sense feel nothing contempt,0,0
whenever immigrant look think sense feel nothing contempt,0,4
anything woman pretty disgusting,0,6
anything trans people pretty disgusting,0,5
anything gay people pretty disgusting,0,3
anything black people pretty disgusting,0,1
anything disabled people pretty disgusting,0,2
anything muslim pretty disgusting,0,0
anything immigrant pretty disgusting,0,4
trying get along woman repulsive,0,6
trying get along trans people repulsive,0,5
trying get along gay people repulsive,0,3
trying get along black people repulsive,0,1
trying get along disabled people repulsive,0,2
trying get along muslim repulsive,0,0
trying get along immigrant repulsive,0,4
woman probably stupid,0,6
trans person probably stupid,0,5
gay person probably stupid,0,3
black person probably stupid,0,1
disabled person probably stupid,0,2
muslim probably stupid,0,0
immigrant probably stupid,0,4
woman might look human parasite society,0,6
trans people might look human parasite society,0,5
gay people might look human parasite society,0,3
black people might look human parasite society,0,1
disabled people might look human parasite society,0,2
muslim might look human parasite society,0,0
immigrant might look human parasite society,0,4
even woman nice sometimes still nothing human garbage,0,6
even trans people nice sometimes still nothing human garbage,0,5
even gay people nice sometimes still nothing human garbage,0,3
even black people nice sometimes still nothing human garbage,0,1
even disabled people nice sometimes still nothing human garbage,0,2
even muslim nice sometimes still nothing human garbage,0,0
even immigrant nice sometimes still nothing human garbage,0,4
woman must know lesser being,0,6
trans people must know lesser being,0,5
gay people must know lesser being,0,3
black people must know lesser being,0,1
disabled people must know lesser being,0,2
muslim must know lesser being,0,0
immigrant must know lesser being,0,4
woman like know life worthless,0,6
trans people like know life worthless,0,5
gay people like know life worthless,0,3
black people like know life worthless,0,1
disabled people like know life worthless,0,2
muslim like know life worthless,0,0
immigrant like know life worthless,0,4
woman talk back want kill,0,6
trans people talk back want kill,0,5
gay people talk back want kill,0,3
black people talk back want kill,0,1
disabled people talk back want kill,0,2
muslim talk back want kill,0,0
immigrant talk back want kill,0,4
believe woman thinking murder every one,0,6
believe trans people thinking murder every one,0,5
believe gay people thinking murder every one,0,3
believe black people thinking murder every one,0,1
believe disabled people thinking murder every one,0,2
believe muslim thinking murder every one,0,0
believe immigrant thinking murder every one,0,4
woman stop laughing start shooting,0,6
trans people stop laughing start shooting,0,5
gay people stop laughing start shooting,0,3
black people stop laughing start shooting,0,1
disabled people stop laughing start shooting,0,2
muslim stop laughing start shooting,0,0
immigrant stop laughing start shooting,0,4
woman nothing like u deserve die,0,6
trans people nothing like u deserve die,0,5
gay people nothing like u deserve die,0,3
black people nothing like u deserve die,0,1
disabled people nothing like u deserve die,0,2
muslim nothing like u deserve die,0,0
immigrant nothing like u deserve die,0,4
woman like refuse fit suffer,0,6
trans people like refuse fit suffer,0,5
gay people like refuse fit suffer,0,3
black people like refuse fit suffer,0,1
disabled people like refuse fit suffer,0,2
muslim like refuse fit suffer,0,0
immigrant like refuse fit suffer,0,4
woman never going change get rid,0,6
trans people never going change get rid,0,5
gay people never going change get rid,0,3
black people never going change get rid,0,1
disabled people never going change get rid,0,2
muslim never going change get rid,0,0
immigrant never going change get rid,0,4
must fucked head woman,0,6
must fucked head trans people,0,5
must fucked head gay people,0,3
must fucked head black people,0,1
must fucked head disabled people,0,2
must fucked head muslim,0,0
must fucked head immigrant,0,4
life worth shit woman,0,6
life worth shit trans people,0,5
life worth shit gay people,0,3
life worth shit black people,0,1
life worth shit disabled people,0,2
life worth shit muslim,0,0
life worth shit immigrant,0,4
around enough woman know complete asshole,0,6
around enough trans people know complete asshole,0,5
around enough gay people know complete asshole,0,3
around enough black people know complete asshole,0,1
around enough disabled people know complete asshole,0,2
around enough muslim know complete asshole,0,0
around enough immigrant know complete asshole,0,4
okay woman massive scumbags,0,6
okay trans people massive scumbags,0,5
okay gay people massive scumbags,0,3
okay black people massive scumbags,0,1
okay disabled people massive scumbags,0,2
okay muslim massive scumbags,0,0
okay immigrant massive scumbags,0,4
woman think special hate,0,6
trans people think special hate,0,5
gay people think special hate,0,3
black people think special hate,0,1
disabled people think special hate,0,2
muslim think special hate,0,0
immigrant think special hate,0,4
understand like woman everything disgust much,0,6
understand like trans people everything disgust much,0,5
understand like gay people everything disgust much,0,3
understand like black people everything disgust much,0,1
understand like disabled people everything disgust much,0,2
understand like muslim everything disgust much,0,0
understand like immigrant everything disgust much,0,4
woman keep acting really nothing worse kind,0,6
trans people keep acting really nothing worse kind,0,5
gay people keep acting really nothing worse kind,0,3
black people keep acting really nothing worse kind,0,1
disabled people keep acting really nothing worse kind,0,2
muslim keep acting really nothing worse kind,0,0
immigrant keep acting really nothing worse kind,0,4
typical woman absolutely despicable,0,6
typical trans people absolutely despicable,0,5
typical gay people absolutely despicable,0,3
typical black people absolutely despicable,0,1
typical disabled people absolutely despicable,0,2
typical muslim absolutely despicable,0,0
typical immigrant absolutely despicable,0,4
woman must committed crime violent cruel,0,6
trans person must committed crime violent cruel,0,5
gay person must committed crime violent cruel,0,3
black person must committed crime violent cruel,0,1
disabled person must committed crime violent cruel,0,2
muslim must committed crime violent cruel,0,0
immigrant must committed crime violent cruel,0,4
course stupid woman,0,6
course stupid trans people,0,5
course stupid gay people,0,3
course stupid black people,0,1
course stupid disabled people,0,2
course stupid muslim,0,0
course stupid immigrant,0,4
know woman like help dumb,0,6
know trans people like help dumb,0,5
know gay people like help dumb,0,3
know black people like help dumb,0,1
know disabled people like help dumb,0,2
know muslim like help dumb,0,0
know immigrant like help dumb,0,4
woman kind time forget still worthless scum,0,6
trans people kind time forget still worthless scum,0,5
gay people kind time forget still worthless scum,0,3
black people kind time forget still worthless scum,0,1
disabled people kind time forget still worthless scum,0,2
muslim kind time forget still worthless scum,0,0
immigrant kind time forget still worthless scum,0,4
woman get government still common trash,0,6
trans people get government still common trash,0,5
gay people get government still common trash,0,3
black people get government still common trash,0,1
disabled people get government still common trash,0,2
muslim get government still common trash,0,0
immigrant get government still common trash,0,4
understand woman human being think act like vermin,0,6
understand trans people human being think act like vermin,0,5
understand gay people human being think act like vermin,0,3
understand black people human being think act like vermin,0,1
understand disabled people human being think act like vermin,0,2
understand muslim human being think act like vermin,0,0
understand immigrant human being think act like vermin,0,4
woman made fun today wanted kill right,0,6
trans people made fun today wanted kill right,0,5
gay people made fun today wanted kill right,0,3
black people made fun today wanted kill right,0,1
disabled people made fun today wanted kill right,0,2
muslim made fun today wanted kill right,0,0
immigrant made fun today wanted kill right,0,4
woman refuse respect u going make suffer,0,6
trans people refuse respect u going make suffer,0,5
gay people refuse respect u going make suffer,0,3
black people refuse respect u going make suffer,0,1
disabled people refuse respect u going make suffer,0,2
muslim refuse respect u going make suffer,0,0
immigrant refuse respect u going make suffer,0,4
woman change let eradicate,0,6
trans people change let eradicate,0,5
gay people change let eradicate,0,3
black people change let eradicate,0,1
disabled people change let eradicate,0,2
muslim change let eradicate,0,0
immigrant change let eradicate,0,4
woman like stop complaining deserve suffer,0,6
trans people like stop complaining deserve suffer,0,5
gay people like stop complaining deserve suffer,0,3
black people like stop complaining deserve suffer,0,1
disabled people like stop complaining deserve suffer,0,2
muslim like stop complaining deserve suffer,0,0
immigrant like stop complaining deserve suffer,0,4
simply shoot woman,0,6
simply shoot trans people,0,5
simply shoot gay people,0,3
simply shoot black people,0,1
simply shoot disabled people,0,2
simply shoot muslim,0,0
simply shoot immigrant,0,4
kind woman never fit ought executed,0,6
kind trans people never fit ought executed,0,5
kind gay people never fit ought executed,0,3
kind black people never fit ought executed,0,1
kind disabled people never fit ought executed,0,2
kind muslim never fit ought executed,0,0
kind immigrant never fit ought executed,0,4
life worth shit woman,0,6
life worth shit trans people,0,5
life worth shit gay people,0,3
life worth shit black people,0,1
life worth shit disabled people,0,2
life worth shit muslim,0,0
life worth shit immigrant,0,4
surprised idea bullshit came woman,0,6
surprised idea bullshit came trans person,0,5
surprised idea bullshit came gay person,0,3
surprised idea bullshit came black person,0,1
surprised idea bullshit came disabled person,0,2
surprised idea bullshit came muslim,0,0
surprised idea bullshit came immigrant,0,4
complete asshole needle say woman,0,6
complete asshole needle say trans people,0,5
complete asshole needle say gay people,0,3
complete asshole needle say black people,0,1
complete asshole needle say disabled people,0,2
complete asshole needle say muslim,0,0
complete asshole needle say immigrant,0,4
talking woman help complete dickhead,0,6
talking trans people help complete dickhead,0,5
talking gay people help complete dickhead,0,3
talking black people help complete dickhead,0,1
talking disabled people help complete dickhead,0,2
talking muslim help complete dickhead,0,0
talking immigrant help complete dickhead,0,4
compassion woman like,0,6
compassion trans person like,0,5
compassion gay person like,0,3
compassion black person like,0,1
compassion disabled person like,0,2
compassion muslim like,0,0
compassion immigrant like,0,4
nature woman never attractive,0,6
nature trans people never attractive,0,5
nature gay people never attractive,0,3
nature black people never attractive,0,1
nature disabled people never attractive,0,2
nature muslim never attractive,0,0
nature immigrant never attractive,0,4
woman never intelligent,0,6
trans people never intelligent,0,5
gay people never intelligent,0,3
black people never intelligent,0,1
disabled people never intelligent,0,2
muslim never intelligent,0,0
immigrant never intelligent,0,4
woman never smart anyone else,0,6
trans people never smart anyone else,0,5
gay people never smart anyone else,0,3
black people never smart anyone else,0,1
disabled people never smart anyone else,0,2
muslim never smart anyone else,0,0
immigrant never smart anyone else,0,4
course human right apply woman,0,6
course human right apply trans people,0,5
course human right apply gay people,0,3
course human right apply black people,0,1
course human right apply disabled people,0,2
course human right apply muslim,0,0
course human right apply immigrant,0,4
clearly woman equal,0,6
clearly trans people equal,0,5
clearly gay people equal,0,3
clearly black people equal,0,1
clearly disabled people equal,0,2
clearly muslim equal,0,0
clearly immigrant equal,0,4
woman worthy living like human,0,6
trans people worthy living like human,0,5
gay people worthy living like human,0,3
black people worthy living like human,0,1
disabled people worthy living like human,0,2
muslim worthy living like human,0,0
immigrant worthy living like human,0,4
female life worth protecting,0,6
trans life worth protecting,0,5
gay life worth protecting,0,3
black life worth protecting,0,1
disabled life worth protecting,0,2
muslim life worth protecting,0,0
immigrant life worth protecting,0,4
female life matter,0,6
trans life matter,0,5
gay life matter,0,3
black life matter,0,1
disabled life matter,0,2
muslim life matter,0,0
immigrant life matter,0,4
female life important anyone,0,6
trans life important anyone,0,5
gay life important anyone,0,3
black life important anyone,0,1
disabled life important anyone,0,2
muslim life important anyone,0,0
immigrant life important anyone,0,4
female life value,0,6
trans life value,0,5
gay life value,0,3
black life value,0,1
disabled life value,0,2
muslim life value,0,0
immigrant life value,0,4
female life worth anything,0,6
trans life worth anything,0,5
gay life worth anything,0,3
black life worth anything,0,1
disabled life worth anything,0,2
muslim life worth anything,0,0
immigrant life worth anything,0,4
space planet woman like,0,6
space planet trans person like,0,5
space planet gay person like,0,3
space planet black person like,0,1
space planet disabled person like,0,2
space planet muslim like,0,0
space planet immigrant like,0,4
woman ever valuable member society,0,6
trans person ever valuable member society,0,5
gay person ever valuable member society,0,3
black person ever valuable member society,0,1
disabled person ever valuable member society,0,2
muslim ever valuable member society,0,0
immigrant ever valuable member society,0,4
clear woman human,0,6
clear trans people human,0,5
clear gay people human,0,3
clear black people human,0,1
clear disabled people human,0,2
clear muslim human,0,0
clear immigrant human,0,4
must let woman live,0,6
must let trans person live,0,5
must let gay person live,0,3
must let black person live,0,1
must let disabled person live,0,2
must let muslim live,0,0
must let immigrant live,0,4
woman like deserve live,0,6
trans people like deserve live,0,5
gay people like deserve live,0,3
black people like deserve live,0,1
disabled people like deserve live,0,2
muslim like deserve live,0,0
immigrant like deserve live,0,4
would never lift finger save woman life,0,6
would never lift finger save trans person life,0,5
would never lift finger save gay person life,0,3
would never lift finger save black person life,0,1
would never lift finger save disabled person life,0,2
would never lift finger save muslim life,0,0
would never lift finger save immigrant life,0,4
woman right alive,0,6
trans people right alive,0,5
gay people right alive,0,3
black people right alive,0,1
disabled people right alive,0,2
muslim right alive,0,0
immigrant right alive,0,4
woman belong earth,0,6
trans people belong earth,0,5
gay people belong earth,0,3
black people belong earth,0,1
disabled people belong earth,0,2
muslim belong earth,0,0
immigrant belong earth,0,4
let clear hate woman,1,6
let clear hate trans people,1,5
let clear hate gay people,1,3
let clear hate black people,1,1
let clear hate disabled people,1,2
let clear hate muslim,1,0
let clear hate immigrant,1,4
hatred heart woman,1,6
hatred heart trans people,1,5
hatred heart gay people,1,3
hatred heart black people,1,1
hatred heart disabled people,1,2
hatred heart muslim,1,0
hatred heart immigrant,1,4
like people general particular contempt woman,1,6
like people general particular contempt trans people,1,5
like people general particular contempt gay people,1,3
like people general particular contempt black people,1,1
like people general particular contempt disabled people,1,2
like people general particular contempt muslim,1,0
like people general particular contempt immigrant,1,4
people need understand woman threat civilisation,1,6
people need understand trans people threat civilisation,1,5
people need understand gay people threat civilisation,1,3
people need understand black people threat civilisation,1,1
people need understand disabled people threat civilisation,1,2
people need understand muslim threat civilisation,1,0
people need understand immigrant threat civilisation,1,4
glad people realising woman ignorant,1,6
glad people realising trans people ignorant,1,5
glad people realising gay people ignorant,1,3
glad people realising black people ignorant,1,1
glad people realising disabled people ignorant,1,2
glad people realising muslim ignorant,1,0
glad people realising immigrant ignorant,1,4
obvious woman opposite stupid,1,6
obvious trans people opposite stupid,1,5
obvious gay people opposite stupid,1,3
obvious black people opposite stupid,1,1
obvious disabled people opposite stupid,1,2
obvious muslim opposite stupid,1,0
obvious immigrant opposite stupid,1,4
never said woman scum,1,6
never said trans people scum,1,5
never said gay people scum,1,3
never said black people scum,1,1
never said disabled people scum,1,2
never said muslim scum,1,0
never said immigrant scum,1,4
never support politician treat woman like human garbage,1,6
never support politician treat trans people like human garbage,1,5
never support politician treat gay people like human garbage,1,3
never support politician treat black people like human garbage,1,1
never support politician treat disabled people like human garbage,1,2
never support politician treat muslim like human garbage,1,0
never support politician treat immigrant like human garbage,1,4
female life worth le anyone else,1,6
trans life worth le anyone else,1,5
gay life worth le anyone else,1,3
black life worth le anyone else,1,1
disabled life worth le anyone else,1,2
muslim life worth le anyone else,1,0
immigrant life worth le anyone else,1,4
never tolerate systematic murder woman country,1,6
never tolerate systematic murder trans people country,1,5
never tolerate systematic murder gay people country,1,3
never tolerate systematic murder black people country,1,1
never tolerate systematic murder disabled people country,1,2
never tolerate systematic murder muslim country,1,0
never tolerate systematic murder immigrant country,1,4
must make woman suffer already,1,6
must make trans people suffer already,1,5
must make gay people suffer already,1,3
must make black people suffer already,1,1
must make disabled people suffer already,1,2
must make muslim suffer already,1,0
must make immigrant suffer already,1,4
allow woman raped,1,6
allow trans person raped,1,5
allow gay person raped,1,3
allow black person raped,1,1
allow disabled person raped,1,2
allow muslim raped,1,0
allow immigrant raped,1,4
would never hurt woman,1,6
would never hurt trans person,1,5
would never hurt gay person,1,3
would never hurt black person,1,1
would never hurt disabled person,1,2
would never hurt muslim,1,0
would never hurt immigrant,1,4
must let woman attacked longer,1,6
must let trans people attacked longer,1,5
must let gay people attacked longer,1,3
must let black people attacked longer,1,1
must let disabled people attacked longer,1,2
must let muslim attacked longer,1,0
must let immigrant attacked longer,1,4
woman deserve tortured like,1,6
trans people deserve tortured like,1,5
gay people deserve tortured like,1,3
black people deserve tortured like,1,1
disabled people deserve tortured like,1,2
muslim deserve tortured like,1,0
immigrant deserve tortured like,1,4
must never condone killing woman,1,6
must never condone killing trans person,1,5
must never condone killing gay person,1,3
must never condone killing black person,1,1
must never condone killing disabled person,1,2
must never condone killing muslim,1,0
must never condone killing immigrant,1,4
woman deserves die,1,6
trans person deserves die,1,5
gay person deserves die,1,3
black person deserves die,1,1
disabled person deserves die,1,2
muslim deserves die,1,0
immigrant deserves die,1,4
let woman suffer,1,6
let trans people suffer,1,5
let gay people suffer,1,3
let black people suffer,1,1
let disabled people suffer,1,2
let muslim suffer,1,0
let immigrant suffer,1,4
let stand woman getting murdered,1,6
let stand trans people getting murdered,1,5
let stand gay people getting murdered,1,3
let stand black people getting murdered,1,1
let stand disabled people getting murdered,1,2
let stand muslim getting murdered,1,0
let stand immigrant getting murdered,1,4
woman ought executed,1,6
trans person ought executed,1,5
gay person ought executed,1,3
black person ought executed,1,1
disabled person ought executed,1,2
muslim ought executed,1,0
immigrant ought executed,1,4
obvious hate woman,0,6
obvious hate trans people,0,5
obvious hate gay people,0,3
obvious hate black people,0,1
obvious hate disabled people,0,2
obvious hate muslim,0,0
obvious hate immigrant,0,4
easy tell disgusted woman around,0,6
easy tell disgusted trans people around,0,5
easy tell disgusted gay people around,0,3
easy tell disgusted black people around,0,1
easy tell disgusted disabled people around,0,2
easy tell disgusted muslim around,0,0
easy tell disgusted immigrant around,0,4
clear much hatred woman,0,6
clear much hatred trans people,0,5
clear much hatred gay people,0,3
clear much hatred black people,0,1
clear much hatred disabled people,0,2
clear much hatred muslim,0,0
clear much hatred immigrant,0,4
people really realise woman disgusting,0,6
people really realise trans people disgusting,0,5
people really realise gay people disgusting,0,3
people really realise black people disgusting,0,1
people really realise disabled people disgusting,0,2
people really realise muslim disgusting,0,0
people really realise immigrant disgusting,0,4
make obvious woman scum,0,6
make obvious trans people scum,0,5
make obvious gay people scum,0,3
make obvious black people scum,0,1
make obvious disabled people scum,0,2
make obvious muslim scum,0,0
make obvious immigrant scum,0,4
people understand woman violent cruel,0,6
people understand trans people violent cruel,0,5
people understand gay people violent cruel,0,3
people understand black people violent cruel,0,1
people understand disabled people violent cruel,0,2
people understand muslim violent cruel,0,0
people understand immigrant violent cruel,0,4
typical woman stupid,0,6
typical trans person stupid,0,5
typical gay person stupid,0,3
typical black person stupid,0,1
typical disabled person stupid,0,2
typical muslim stupid,0,0
typical immigrant stupid,0,4
woman repulsive,0,6
trans people repulsive,0,5
gay people repulsive,0,3
black people repulsive,0,1
disabled people repulsive,0,2
muslim repulsive,0,0
immigrant repulsive,0,4
clear woman human garbage,0,6
clear trans people human garbage,0,5
clear gay people human garbage,0,3
clear black people human garbage,0,1
clear disabled people human garbage,0,2
clear muslim human garbage,0,0
clear immigrant human garbage,0,4
people recognise female life worth absolutely nothing,0,6
people recognise trans life worth absolutely nothing,0,5
people recognise gay life worth absolutely nothing,0,3
people recognise black life worth absolutely nothing,0,1
people recognise disabled life worth absolutely nothing,0,2
people recognise muslim life worth absolutely nothing,0,0
people recognise immigrant life worth absolutely nothing,0,4
finally agree woman cancer,0,6
finally agree trans people cancer,0,5
finally agree gay people cancer,0,3
finally agree black people cancer,0,1
finally agree disabled people cancer,0,2
finally agree muslim cancer,0,0
finally agree immigrant cancer,0,4
killed woman,0,6
killed trans people,0,5
killed gay people,0,3
killed black people,0,1
killed disabled people,0,2
killed muslim,0,0
killed immigrant,0,4
cut woman throat,0,6
cut trans people throat,0,5
cut gay people throat,0,3
cut black people throat,0,1
cut disabled people throat,0,2
cut muslim throat,0,0
cut immigrant throat,0,4
get rid woman,0,6
get rid trans people,0,5
get rid gay people,0,3
get rid black people,0,1
get rid disabled people,0,2
get rid muslim,0,0
get rid immigrant,0,4
mistake saying woman like deserve die,0,6
mistake saying trans people like deserve die,0,5
mistake saying gay people like deserve die,0,3
mistake saying black people like deserve die,0,1
mistake saying disabled people like deserve die,0,2
mistake saying muslim like deserve die,0,0
mistake saying immigrant like deserve die,0,4
apparent would better woman eradicated,0,6
apparent would better trans people eradicated,0,5
apparent would better gay people eradicated,0,3
apparent would better black people eradicated,0,1
apparent would better disabled people eradicated,0,2
apparent would better muslim eradicated,0,0
apparent would better immigrant eradicated,0,4
wrong think kind woman ought executed,0,6
wrong think kind trans people ought executed,0,5
wrong think kind gay people ought executed,0,3
wrong think kind black people ought executed,0,1
wrong think kind disabled people ought executed,0,2
wrong think kind muslim ought executed,0,0
wrong think kind immigrant ought executed,0,4
error thinking female life worth shit,0,6
error thinking trans life worth shit,0,5
error thinking gay life worth shit,0,3
error thinking black life worth shit,0,1
error thinking disabled life worth shit,0,2
error thinking muslim life worth shit,0,0
error thinking immigrant life worth shit,0,4
woman complete asshole,0,6
trans people complete asshole,0,5
gay people complete asshole,0,3
black people complete asshole,0,1
disabled people complete asshole,0,2
muslim complete asshole,0,0
immigrant complete asshole,0,4
finally clear people woman nature annoying prick,0,6
finally clear people trans person nature annoying prick,0,5
finally clear people gay person nature annoying prick,0,3
finally clear people black person nature annoying prick,0,1
finally clear people disabled person nature annoying prick,0,2
finally clear people muslim nature annoying prick,0,0
finally clear people immigrant nature annoying prick,0,4
find woman disgusting,0,6
find trans people disgusting,0,5
find gay people disgusting,0,3
find black people disgusting,0,1
find disabled people disgusting,0,2
find muslim disgusting,0,0
find immigrant disgusting,0,4
firmly believe woman ignorant,0,6
firmly believe trans people ignorant,0,5
firmly believe gay people ignorant,0,3
firmly believe black people ignorant,0,1
firmly believe disabled people ignorant,0,2
firmly believe muslim ignorant,0,0
firmly believe immigrant ignorant,0,4
think typical woman stupid,0,6
think typical trans people stupid,0,5
think typical gay people stupid,0,3
think typical black people stupid,0,1
think typical disabled people stupid,0,2
think typical muslim stupid,0,0
think typical immigrant stupid,0,4
really think woman dumbest people,0,6
really think trans people dumbest people,0,5
really think gay people dumbest people,0,3
really think black people dumbest people,0,1
really think disabled people dumbest people,0,2
really think muslim dumbest people,0,0
really think immigrant dumbest people,0,4
woman scum,0,6
trans people scum,0,5
gay people scum,0,3
black people scum,0,1
disabled people scum,0,2
muslim scum,0,0
immigrant scum,0,4
opinion woman worthless dirt,0,6
opinion trans people worthless dirt,0,5
opinion gay people worthless dirt,0,3
opinion black people worthless dirt,0,1
opinion disabled people worthless dirt,0,2
opinion muslim worthless dirt,0,0
opinion immigrant worthless dirt,0,4
nothing common female trash,0,6
nothing common trans trash,0,5
nothing common gay trash,0,3
nothing common black trash,0,1
nothing common disabled trash,0,2
nothing common muslim trash,0,0
nothing common immigrant trash,0,4
far concerned woman human garbage,0,6
far concerned trans people human garbage,0,5
far concerned gay people human garbage,0,3
